camera_code,load_body_time,str2img_time,detection_time,img2str_time,create_message_time,send_time
v2,0.0009799003601074219,1.9073486328125e-05,0.08248305320739746,2.384185791015625e-07,0.002819061279296875,0.004023551940917969
v2,0.0006363391876220703,1.4781951904296875e-05,0.019649028778076172,0.0,0.0032236576080322266,0.002795696258544922
v2,0.0007588863372802734,1.8358230590820312e-05,0.07677841186523438,2.384185791015625e-07,0.0028905868530273438,0.0028023719787597656
v2,0.0006263256072998047,1.5497207641601562e-05,0.08689999580383301,2.384185791015625e-07,0.0031137466430664062,0.002784252166748047
v2,0.0005576610565185547,1.52587890625e-05,0.07220792770385742,2.384185791015625e-07,0.0034050941467285156,0.002748250961303711
v2,0.0007188320159912109,2.09808349609375e-05,0.08330082893371582,0.0,0.0035746097564697266,0.007376432418823242
v2,0.0008838176727294922,1.5497207641601562e-05,0.019948959350585938,2.384185791015625e-07,0.0026803016662597656,0.0028035640716552734
v2,0.0009565353393554688,1.7881393432617188e-05,0.06931114196777344,0.0,0.0027234554290771484,0.0028159618377685547
v2,0.0007169246673583984,1.6927719116210938e-05,0.08987140655517578,2.384185791015625e-07,0.003620147705078125,0.0028493404388427734
v2,0.0007712841033935547,1.9311904907226562e-05,0.08644604682922363,2.384185791015625e-07,0.004133939743041992,0.002656698226928711
v2,0.0005574226379394531,1.4066696166992188e-05,0.02032184600830078,0.0,0.002728700637817383,0.002664804458618164
v2,0.0005557537078857422,1.4543533325195312e-05,0.07542729377746582,0.0,0.0027358531951904297,0.0025246143341064453
v2,0.0007631778717041016,2.1219253540039062e-05,0.02556633949279785,0.0,0.003425121307373047,0.003012418746948242
v2,0.0007960796356201172,1.9311904907226562e-05,0.07946944236755371,0.0,0.002744436264038086,0.0026726722717285156
v2,0.0006277561187744141,1.6450881958007812e-05,0.0796670913696289,0.0,0.002684354782104492,0.0025992393493652344
v2,0.0006895065307617188,1.5020370483398438e-05,0.019954204559326172,2.384185791015625e-07,0.004155158996582031,0.003153562545776367
v2,0.0008037090301513672,2.0503997802734375e-05,0.02429652214050293,0.0,0.002669095993041992,0.002716064453125
v2,0.0012059211730957031,3.0040740966796875e-05,0.02285003662109375,2.384185791015625e-07,0.002783536911010742,0.006196737289428711
v2,0.0010395050048828125,1.9788742065429688e-05,0.02009725570678711,2.384185791015625e-07,0.003175020217895508,0.002557039260864258
v2,0.0007476806640625,2.0265579223632812e-05,0.023799896240234375,2.384185791015625e-07,0.00315093994140625,0.002863645553588867
v2,0.0006172657012939453,1.6689300537109375e-05,0.0753176212310791,2.384185791015625e-07,0.00274658203125,0.002638101577758789
v2,0.0007052421569824219,1.6689300537109375e-05,0.020025968551635742,0.0,0.002733469009399414,0.002687215805053711
v2,0.0006268024444580078,1.4543533325195312e-05,0.07606220245361328,0.0,0.0025970935821533203,0.0025513172149658203
v2,0.0005671977996826172,1.4781951904296875e-05,0.06882810592651367,4.76837158203125e-07,0.0035736560821533203,0.002877950668334961
v2,0.0009319782257080078,1.6689300537109375e-05,0.07768416404724121,0.0,0.003916263580322266,0.0030663013458251953
v2,0.0005533695220947266,1.430511474609375e-05,0.07511734962463379,2.384185791015625e-07,0.0036554336547851562,0.002525806427001953
v2,0.0006196498870849609,2.0265579223632812e-05,0.07097935676574707,2.384185791015625e-07,0.0035741329193115234,0.0027799606323242188
v2,0.0006403923034667969,1.6689300537109375e-05,0.07508277893066406,2.384185791015625e-07,0.003614187240600586,0.0026772022247314453
v2,0.0005941390991210938,1.4543533325195312e-05,0.08013582229614258,0.0,0.0026619434356689453,0.002657651901245117
v2,0.0006341934204101562,1.5735626220703125e-05,0.08704090118408203,2.384185791015625e-07,0.003122091293334961,0.0033402442932128906
v2,0.0006697177886962891,1.4543533325195312e-05,0.06623196601867676,0.0,0.002880573272705078,0.0024967193603515625
v2,0.0007219314575195312,1.52587890625e-05,0.019928455352783203,0.0,0.002862215042114258,0.002618551254272461
v2,0.0005955696105957031,1.5020370483398438e-05,0.07201457023620605,2.384185791015625e-07,0.004266023635864258,0.0029113292694091797
v2,0.0006442070007324219,1.71661376953125e-05,0.0726625919342041,2.384185791015625e-07,0.0026268959045410156,0.0029633045196533203
v2,0.0006868839263916016,1.6927719116210938e-05,0.0193026065826416,2.384185791015625e-07,0.0029168128967285156,0.0025451183319091797
v2,0.0006330013275146484,1.5020370483398438e-05,0.0674746036529541,2.384185791015625e-07,0.0027599334716796875,0.0028336048126220703
v2,0.0006740093231201172,1.7881393432617188e-05,0.02600550651550293,0.0,0.003561735153198242,0.002830028533935547
v2,0.0008733272552490234,2.002716064453125e-05,0.08208537101745605,2.384185791015625e-07,0.003107309341430664,0.003030538558959961
v2,0.0006606578826904297,1.6450881958007812e-05,0.5077435970306396,7.152557373046875e-07,0.00904226303100586,0.00936269760131836
v2,0.0009412765502929688,1.9550323486328125e-05,0.09196734428405762,2.384185791015625e-07,0.003187417984008789,0.006050586700439453
v2,0.0008170604705810547,3.123283386230469e-05,0.07666635513305664,0.0,0.003027677536010742,0.004997730255126953
v2,0.0010373592376708984,2.288818359375e-05,0.07820773124694824,0.0,0.0047876834869384766,0.003098011016845703
v2,0.0007355213165283203,1.9311904907226562e-05,0.0760033130645752,0.0,0.0033037662506103516,0.0027573108673095703
v2,0.0008673667907714844,1.9073486328125e-05,0.07383108139038086,0.0,0.0030896663665771484,0.005318403244018555
v2,0.0006394386291503906,1.5497207641601562e-05,0.07114648818969727,0.0,0.0029442310333251953,0.0031735897064208984
v2,0.0005388259887695312,1.430511474609375e-05,0.017269372940063477,2.384185791015625e-07,0.0030858516693115234,0.002515554428100586
v2,0.0007073879241943359,1.9073486328125e-05,0.021954059600830078,4.76837158203125e-07,0.004521846771240234,0.0029451847076416016
